date	concept	depth	subtopics	bridges	frontiers	domain_focus	note
2026-06-13	Qi Men Dun Jia (奇門遁甲) — Mysterious Doors & Hidden Methods	quick	21 (6 clusters)	5	6	—	Parent: Bazi; chart changes every 2 hours (situational, not natal); 2,160 chart configurations (1,080 Yang + 1,080 Yin); ⚠️ contested: Destiny Reading vs Oracle QMDJ (Joey Yap birth-based vs classical event-oracle); ⚠️ school authority (4+ schools, no adjudicating standard); Solar Term timing drift methodological gap; QMDJ ↔ ZWDS confirmed as different time-granularity tools; 2 new queue entries (Q1–Q2)
2026-06-13	Zi Wei Dou Shu (紫微斗數) — Purple Star Astrology	quick	21 (6 clusters)	5	6	—	Parent: Bazi; 2 primary schools (San He 30–108 stars vs Si Hua 18 stars); ⚠️ contested: San He象 vs Si Hua數 (incompatible success criteria); ⚠️ Chen Tuan authorship disputed; recent: Si Hua authentication crisis 2025–2026; no wiki coverage exists; 5 new queue entries (Z1–Z5)
2026-06-13	Bazi (八字) — Four Pillars of Destiny	quick	28 (20 known in C:\Bazi wiki; 8 new)	6	6	—	All core subtopics already exist in C:\Bazi wiki; new topics: ZWDS, Qi Men, Mang Pai, Date Selection, Compatibility, Health×TCM, AI/LLM; ⚠️ contested: DM Strength vs Pattern (irreconcilable schools); ⚠️ Mang Pai vs Zi Ping accuracy (no comparison study); recent: arXiv 2025-26 LLM benchmarks (32–37% on professional problems); practitioner–academic non-falsifiability divide
2026-06-13	non-maturity deposits	quick	14	5	5	—	First run; session initialised; 4 clusters (account types, segmentation, modelling, risk); contested claim: BCBS WP47 vs ECB WP3140 on digital fragility; EBA 2026 repricing cap conditions as recent development
2026-06-13	deposit beta / rate passthrough	deep	12	5	7	Thai banking	8 parallel knowledge-expander nodes; 4 clusters; confirmed relationship with [[non-maturity-deposits]]; 2 contested claims (linear vs non-linear beta; asymmetry direction); Thai natural experiments: Dec 2024 BOT cut → 20-40% passthrough; Lerner Index 0.36-0.60; no published Thai product-level beta coefficients
2026-06-13	bank profile rating	quick	15	5	6	—	4 clusters (supervisory, external credit, agency methodologies, quantitative inputs); contested claim: post-GFC rating stringency divergence across agencies; recent: FFIEC 2026 CAMELS overhaul proposal + S&P Dec 2024 climate risk integration; no domain flag
2026-06-13	CAMELS rating system	deep	16	5	7	Thai banking	10 parallel knowledge-expander nodes; 4 clusters; 4 confirmed relationships with [[non-maturity-deposits]] and [[deposit-beta]] via L and S components; key Thai data: CAR 21.3%, NPL 2.84%, NIM 2.54%, ROA 0.94%; contested claims: process vs. financial risk focus; CAMELS disclosure debate; FFIEC 2026 overhaul (May 19, comment deadline Aug 17)
2026-06-13	BICRA / Operating Environment	quick	11	5	5	—	4 clusters; Thailand Group 7 (downgraded March 2022 — high household debt ~90% GDP); Anchor SACP cascade mechanism confirmed; Moody's Macro Profile + Fitch Operating Environment equivalents; ⚠️ contested: Group 7 possibly stale given 2025 NPL improvement + BOT CAR 21.3%; 5 bridges; confirmed relationship [[bicra]] → [[bank-profile-rating]]; 2 new frontier queue entries: Government Support Assessment + Sovereign Rating/Country Ceiling
2026-06-13	Standalone Credit Assessment (BCA/SACP/VR)	deep	15	5	5	Thai banking	4 clusters; 9 subagents launched but hit session rate limit — research completed via direct WebSearch; BBL BCA baa1 = Thai sovereign ceiling (no uplift); KTB/TTB/EXIM IDR driven by GSR not VR; KBANK/KTB VR bbb-; Anchor SACP ≈ bb/bb+ for Group 7; ⚠️ contested: has TBTF uplift been genuinely removed post-TLAC?; 5 confirmed relationships added; 3 new frontier queue entries: TLAC/bail-in, LGF Analysis, Sovereign Rating/Country Ceiling
2026-06-13	Deposit Research (as a Field)	quick	16	5	5	Deposit Research vault	4 clusters; Deposit Research vault gap analysis (82 pages, 32 institution profiles); 9 [known] subtopics in vault; 7 NEW gap subtopics identified; ⚠️ contested: does DI reduce bank failures? Northern Rock/SVB 2024 paper inverts received wisdom; recent dev: 2024-2025 push for unlimited DI (US academics + Oxford Law 2025); 7 new frontier queue entries prepended; Deposit Franchise Value queue entry subsumed into priority 2
